ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
Q0110,BI2,"Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA",6,155.417,472.863,731.703,172.405,255.721,755.821,845.646,837.997,712.533,856.380
YLR139C,SLS1,Mitochondrial membrane protein that coordinates expression of mitochondrially-encoded genes; may facilitate delivery of mRNA to membrane-bound translation machinery,28,2917.760,3153.820,4342.340,3077.600,3483.000,3638.860,4132.930,5606.230,4515.700,3999.840
YNR045W,PET494,"Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane",15,1208.880,1505.710,2116.680,631.849,733.077,1787.660,1869.610,1424.250,1650.670,2042.150
YBL080C,PET112,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog,24,2100.760,3804.500,3891.300,2037.760,2317.160,3980.000,4472.080,7806.420,4618.940,4968.520
YIL062C,ARC15,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; has mRNA binding activity",25,3561.380,3358.380,3726.670,2927.870,2930.400,3873.120,2943.010,5218.750,3589.260,3750.830
YKL204W,EAP1,"eIF4E-associated protein, competes with eIF4G for binding to eIF4E; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade",34,5618.570,6376.440,6892.820,5346.950,5559.620,7348.350,7658.100,5641.900,7622.950,7574.420
YOR017W,PET127,"Protein with a role in 5'-end processing of mitochondrial RNAs, located in the mitochondrial membrane",23,3749.310,2980.380,4603.040,3569.690,4671.000,4135.550,4720.970,5707.380,5542.990,5255.790
YLR316C,TAD3,"Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad2p that converts adenosine to inosine at the wobble position of several tRNAs",11,1899.110,1136.840,1175.750,1829.620,1791.490,1142.110,1236.640,1570.160,1455.270,1395.920
YLL035W,GRC3,Polynucleotide kinase present on rDNA that is required for efficient transcription termination by RNA polymerase I; required for cell growth; mRNA is cell-cycle regulated,12,1479.240,954.281,1119.200,1616.960,1864.670,983.751,1118.900,934.834,1160.600,979.189
YMR152W,YIM1,"Protein of unknown function; null mutant displays sensitivity to DNA damaging agents; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",30,3521.430,7175.820,9141.180,3797.650,3981.470,6950.120,8927.720,9115.130,7473.580,6558.600
YIL020C,HIS6,"Phosphoribosyl-5-amino-1-phosphoribosyl-4-imidazolecarboxiamide isomerase, catalyzes the fourth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts",22,8187.850,4629.620,5209.950,7473.940,8246.810,4869.600,4866.320,4289.570,5981.600,4980.610
YBR156C,SLI15,"Subunit of the conserved chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), which regulates kinetochore-microtubule attachments, activation of the spindle tension checkpoint, and mitotic spindle disassembly",12,1326.910,3502.480,1034.890,2325.570,1113.150,830.203,857.663,841.344,1227.110,1127.580
YHR037W,PUT2,"Delta-1-pyrroline-5-carboxylate dehydrogenase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; deficiency of the human homolog causes HPII, an autosomal recessive inborn error of metabolism",84,7842.380,17379.400,22200.200,7199.750,7993.020,19388.400,26827.000,49077.500,25705.600,16007.600
YGR197C,SNG1,Protein involved in resistance to nitrosoguanidine (MNNG) and 6-azauracil (6-AU); expression is regulated by transcription factors involved in multidrug resistance,10,911.500,1053.530,1615.330,908.767,896.826,1239.220,1366.460,2661.200,1589.790,1438.140
YOR034C,AKR2,Ankyrin repeat-containing protein similar to Akr1p; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; possibly involved in constitutive endocytosis of Ste3p,12,1490.410,1818.090,1285.840,1426.410,1239.090,1114.820,1719.270,443.229,806.525,988.469
YJL071W,ARG2,"Acetylglutamate synthase (glutamate N-acetyltransferase), mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p",17,2679.810,3243.870,3871.840,2627.630,3293.780,3815.520,3804.680,6533.790,4775.970,4591.750
R0030W,RAF1,Anti-repressor that increases 2 micron plasmid copy number by relieving repression of the FLP1 site-specific recombinase caused by the Rep1-Rep2p trascription regulator; also itself repressed by the Rep1p-Rep2p complex,6,520.996,688.100,559.658,563.108,569.414,810.815,659.125,729.339,735.196,763.125
YIR026C,YVH1,"Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation; mutants are defective in 60S ribosome assembly; member of the dual-specificity family of protein phosphatases",35,7589.330,5053.410,6531.550,7567.410,8228.550,6007.710,6117.920,3770.000,7139.800,6996.700
YOL060C,MAM3,"Protein required for normal mitochondrial morphology, has similarity to hemolysins",19,3642.870,2091.810,3432.570,3481.590,3282.830,2858.320,2878.930,4355.180,4066.390,3662.050
YLR378C,SEC61,"Essential subunit of Sec61 complex (Sec61p, Sbh1p, and Sss1p); forms a channel for SRP-dependent protein import and retrograde transport of misfolded proteins out of the ER; with Sec63 complex allows SRP-independent protein import into ER",24,4193.660,2829.030,3477.370,3952.470,3880.540,3122.660,3355.440,3403.990,3638.180,3605.760
YDL021W,GPM2,"Homolog of Gpm1p phosphoglycerate mutase, which converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; may be non-functional derivative of a gene duplication event",25,1195.460,6242.020,3629.740,1595.970,1016.000,6431.800,7317.370,4269.720,5664.900,6738.330
YLR396C,VPS33,"ATP-binding protein that is a subunit of the HOPS complex and of the CORVET tethering complex; essential for protein sorting, vesicle docking and fusion at the vacuole",21,3060.510,3743.580,3845.520,3033.020,3285.630,4192.900,4459.740,4300.870,4072.380,3771.690
YBR239C,ERT1,"Transcriptional regulator of nonfermentable carbon utilization; GFP-fusion protein localizes to cytoplasm, nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition",4,1304.570,842.168,869.441,1635.910,1312.510,1088.350,909.413,1794.560,1732.990,1198.960
YER145C,FTR1,High affinity iron permease involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron,18,5816.390,835.064,2386.790,5914.600,5165.340,2128.330,7367.310,17087.900,23697.200,1923.510
YHR088W,RPF1,"Nucleolar protein involved in the assembly and export of the large ribosomal subunit; constituent of 66S pre-ribosomal particles; contains a sigma(70)-like motif, which is thought to bind RNA",25,9714.230,1828.170,4178.280,7324.790,10040.500,2163.200,3476.520,2745.500,5240.320,3053.610
YOL124C,TRM11,"Catalytic subunit of an adoMet-dependent tRNA methyltransferase complex (Trm11p-Trm112p), required for the methylation of the guanosine nucleotide at position 10 (m2G10) in tRNAs; contains a THUMP domain and a methyltransferase domain",23,5788.910,2578.160,3669.920,5166.700,6066.490,2834.060,3160.280,2356.880,4212.570,3481.980
YDL024C,DIA3,"Protein of unknown function, involved in invasive and pseudohyphal growth",1,5.085,40.415,20.550,5.489,7.678,30.820,27.032,18.680,20.259,17.216
YPR071W,YPR071W,Putative membrane protein; YPR071W is not an essential gene,4,241.938,95.120,124.317,198.926,203.053,142.407,125.761,127.042,172.052,155.867
YGR207C,CIR1,Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-beta; may have a role in oxidative stress response,32,5426.000,7542.050,10224.700,5974.670,6574.060,8892.030,9545.550,17086.700,9337.280,8934.020
YPL164C,MLH3,Protein involved in DNA mismatch repair and crossing-over during meiotic recombination; forms a complex with Mlh1p; mammalian homolog is implicated mammalian microsatellite instability,9,670.749,708.821,869.635,702.091,680.217,774.706,837.198,818.910,1002.370,945.425
YPL264C,YPL264C,Putative membrane protein of unknown function; physically interacts with Hsp82p; YPL264C is not an essential gene,1,48.365,105.459,46.778,64.695,42.851,113.582,106.315,83.300,61.757,162.306
YJR022W,LSM8,"Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) that is part of spliceosomal U6 snRNP and is also implicated in processing of pre-tRNA, pre-snoRNA, and pre-rRNA",5,1347.060,1625.000,1984.930,1457.090,1541.800,1850.660,1813.810,2204.920,1974.870,2262.980
YKR064W,OAF3,"Zinc cluster protein; regulates transcription in response to oleate levels; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",11,2546.150,2038.480,2131.550,2727.060,2762.860,2154.980,2417.990,2299.950,2400.280,2491.850
YBL025W,RRN10,"Protein involved in promoting high level transcription of rDNA, subunit of UAF (upstream activation factor) for RNA polymerase I",6,1749.630,2109.070,4682.300,1477.590,1118.180,1845.460,2083.030,1521.380,1413.250,2189.490
YOR323C,PRO2,"Gamma-glutamyl phosphate reductase, catalyzes the second step in proline biosynthesis",74,22241.100,18367.000,16112.900,22284.000,21878.800,17234.500,15574.800,15145.600,18528.000,17088.600
Q0060,AI3,"Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene",7,186.712,1365.320,848.019,235.433,468.296,1361.980,1135.830,1164.710,527.101,1002.270
YMR199W,CLN1,"G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)",3,88.317,42.061,143.097,104.889,101.375,55.516,110.579,86.451,116.415,162.359
YNL231C,PDR16,"Phosphatidylinositol transfer protein (PITP) controlled by the multiple drug resistance regulator Pdr1p, localizes to lipid particles and microsomes, controls levels of various lipids, may regulate lipid synthesis, homologous to Pdr17p",43,11247.400,6164.160,17029.100,12761.200,10461.200,7140.290,8613.220,10112.000,7304.680,7019.980
YMR011W,HXT2,"High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose",23,2785.210,476.831,906.561,5646.350,12407.300,851.603,2832.420,667.857,6289.790,707.880
YDL147W,RPN5,"Subunit of the COP9 signalosome (CSN) and non-ATPase regulatory subunit of the 26S proteasome lid, similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit, Rpn7p; Rpn5p is an essential protein",48,10375.900,10282.800,9737.780,9615.840,9566.740,10254.300,10746.200,10113.700,10348.700,10264.700
YLR105C,SEN2,"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen2p contains the active site for tRNA 5' splice site cleavage and has similarity to Sen34p and to Archaeal tRNA splicing endonuclease",8,1083.500,864.316,984.143,965.305,995.079,959.417,1186.230,1255.280,1000.190,1084.020
YCR026C,NPP1,Nucleotide pyrophosphatase/phosphodiesterase family member; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation,15,2745.580,3711.630,3392.670,2661.180,2453.880,3584.180,4873.980,2577.100,3715.660,3150.190
YOR071C,NRT1,High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity,6,837.184,158.046,475.636,986.300,779.115,216.050,337.038,252.745,600.816,717.054
YDL150W,RPC53,RNA polymerase III subunit C53,29,9440.950,3209.010,3718.650,8259.720,8578.970,3667.400,3659.340,5195.990,5309.020,4737.730
YDL004W,ATP16,"Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated",12,2106.370,1980.330,1468.150,1887.160,1453.970,1652.870,2234.200,3050.140,1475.320,1981.400
YHL019C,APM2,"Protein of unknown function, homologous to the medium chain of mammalian clathrin-associated protein complex; involved in vesicular transport",16,1698.850,1980.080,1756.300,1713.800,1799.250,1794.950,1997.390,1546.520,1820.410,1796.260
YAR027W,UIP3,Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family,10,1595.770,470.641,1547.740,1445.370,1522.510,689.228,970.994,918.566,1229.220,1221.270
YFL037W,TUB2,"Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules",79,12884.500,13828.900,15590.700,13199.100,12787.300,15590.000,13201.600,15615.900,16217.900,14647.600
YER007W,PAC2,"Microtubule effector required for tubulin heterodimer formation, binds alpha-tubulin, required for normal microtubule function, null mutant exhibits cold-sensitive microtubules and sensitivity to benomyl",9,1117.850,775.407,680.303,1185.920,1211.090,860.637,742.453,1296.520,1143.640,977.466
YJL093C,TOK1,"Outward-rectifier potassium channel of the plasma membrane with two pore domains in tandem, each of which forms a functional channel permeable to potassium; carboxy tail functions to prevent inner gate closures; target of K1 toxin",3,617.570,508.826,490.964,596.774,594.077,520.274,624.306,694.529,728.873,711.255
YBL069W,AST1,"Peripheral membrane protein that interacts with the plasma membrane ATPase Pma1p and has a role in its targeting to the plasma membrane, possibly by influencing its incorporation into lipid rafts",20,3907.850,2432.990,3254.160,3972.930,3884.140,3072.140,2370.390,3127.820,3304.420,3736.350
YJR025C,BNA1,"3-hydroxyanthranilic acid dioxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p",30,4197.870,8152.360,9692.760,4847.160,4523.610,9415.870,9634.620,4467.770,8389.720,8274.330
YNL148C,ALF1,"Alpha-tubulin folding protein, similar to mammalian cofactor B; Alf1p-GFP localizes to cytoplasmic microtubules; required for the folding of alpha-tubulin and may play an additional role in microtubule maintenance",8,904.093,831.315,850.730,833.543,786.928,956.001,776.414,754.452,1051.440,1240.060
YBR129C,OPY1,"Protein of unknown function, overproduction blocks cell cycle arrest in the presence of mating pheromone; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",11,1326.500,1966.620,2012.870,1790.510,1783.570,2184.000,2180.840,1347.540,1919.800,1931.120
YDR196C,CAB5,Probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies,11,1692.820,2480.360,2481.710,1833.540,2156.970,2523.790,2023.570,2568.250,1937.470,2210.630
YDL209C,CWC2,"Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2",20,3730.980,3270.550,3025.310,4225.810,3635.180,3540.720,3590.380,3598.970,3331.050,3592.980
YGR295C,COS6,"Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",8,1062.860,426.251,1061.470,1143.840,1007.760,489.673,881.171,840.651,821.048,1037.910
YNL336W,COS1,"Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",1,143.924,46.864,113.730,165.188,162.593,53.830,74.847,76.439,103.065,127.134
YKR092C,SRP40,"Nucleolar, serine-rich protein with a role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp140",10,5616.210,1763.980,4363.280,6135.620,4602.540,2212.690,2800.720,2637.560,2727.700,3818.980
YBR192W,RIM2,Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family,17,1772.670,2441.700,2547.780,1816.040,2318.710,2429.760,2945.030,2735.380,2686.510,2605.060
YGR235C,YGR235C,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",14,1370.520,2882.090,3932.920,1746.200,1940.190,3350.760,2672.430,4029.520,3311.190,4901.540
YLR312C,YLR312C,Putative protein of unknown function,10,105.148,2439.520,4597.380,130.569,109.518,4391.590,3272.010,1437.780,3054.330,4594.960
YDR473C,PRP3,"Splicing factor, component of the U4/U6-U5 snRNP complex",19,4224.930,4485.380,4949.320,4510.330,4570.180,5545.210,5456.590,5153.880,6152.180,5657.240
YBR288C,APM3,Mu3-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway,21,3408.150,2864.640,2807.560,3869.400,4087.670,2988.630,2951.570,3037.630,2805.010,3032.920
YGR147C,NAT2,Protein with an apparent role in acetylation of N-terminal methionine residues,21,2910.920,3390.920,2642.380,3115.490,3259.890,3388.560,3757.390,3954.570,4046.050,4129.170
YLR380W,CSR1,Phosphatidylinositol transfer protein with a potential role in regulating lipid and fatty acid metabolism under heme-depleted conditions; interacts specifically with thioredoxin peroxidase; may have a role in oxidative stress resistance,33,12835.900,7021.260,6876.840,12440.100,11162.300,6690.320,8257.000,6389.460,7135.840,7029.960
YER152C,YER152C,Protein with 2-aminoadipate transaminase activity; shares amino acid similarity with the aminotransferases Aro8p and Aro9p; YER152C is not an essential gene,27,3891.800,4704.140,5684.400,4036.250,3890.360,6011.780,4983.550,3162.460,4499.170,4399.250
YDR231C,COX20,"Mitochondrial inner membrane protein, required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase",18,2999.230,6004.250,6459.580,3095.990,3033.230,5850.640,7631.800,6424.270,7017.580,6516.750
YNL213C,RRG9,"Protein of unknown function; null mutant lacks mitochondrial DNA and cannot grow on glycerol; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",3,1058.630,913.310,975.176,1049.100,1121.940,1052.320,1065.290,848.639,1308.040,1267.030
YNL323W,LEM3,"Membrane protein of the plasma membrane and ER, interacts specifically in vivo with the phospholipid translocase (flippase) Dnf1p; involved in translocation of phospholipids and alkylphosphocholine drugs across the plasma membrane",17,2399.920,1498.280,1947.940,2421.550,2260.590,1762.510,1883.200,1492.110,1997.170,2129.500
YNL241C,ZWF1,"Glucose-6-phosphate dehydrogenase (G6PD), catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidatve stress; homolog of the human G6PD which is deficient in patients with hemolytic anemia",103,19769.600,24801.500,18536.700,18667.100,21568.200,21872.900,20120.200,15269.700,21419.100,16796.000
YPL253C,VIK1,"Protein that forms a complex with Kar3p at the spindle pole body, possible regulator of Kar3p function in microtubule-mediated processes; required for sister chromatid cohesion; has similarity to Cik1p",8,1031.770,330.862,567.672,932.767,1017.640,509.650,581.272,511.484,822.507,660.923
YNL110C,NOP15,"Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm",16,8571.750,3550.120,4227.060,7223.120,8080.910,3593.280,3722.130,2706.420,4568.000,4094.100
YGL155W,CDC43,"Beta subunit of geranylgeranyltransferase type I, catalyzes geranylgeranylation to the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis",11,1352.700,1522.620,1356.810,1720.690,1806.060,1862.140,1565.440,1067.180,1778.600,1682.000
YLR268W,SEC22,"R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog",14,2872.610,2300.210,2042.240,2917.380,2703.270,2481.550,2426.230,2076.780,2493.950,2882.670
YMR048W,CSM3,"Replication fork associated factor, required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis",7,1351.920,778.052,878.599,1706.360,1534.270,1050.480,1021.200,933.451,1208.900,1112.690
YDR206W,EBS1,Protein involved in inhibition of translation and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors,27,4672.890,3085.680,3622.310,4776.570,5078.040,3352.700,4060.530,2803.030,4947.660,4503.770
YDL093W,PMT5,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt3p, can instead interact with Pmt2p in some conditions; target for new antifungals",14,1856.720,1317.480,2743.120,2085.930,2036.350,2015.490,2282.630,2523.360,2709.750,2730.320
YLR301W,HRI1,Protein of unknown function that interacts with Sec72p and Hrr25p,44,12738.400,5202.800,6409.800,12377.600,11572.900,5568.100,5097.200,3837.500,5525.890,6379.990
YJL139C,YUR1,"Mannosyltransferase of the KTR1 family, involved in protein N-glycosylation; located in the Golgi apparatus",13,1306.360,1419.050,1456.990,1499.510,1324.340,1492.350,1675.390,3060.190,1880.720,1683.270
YHR192W,YHR192W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS,17,2792.110,3499.150,4129.430,3071.050,3072.800,4600.220,4356.200,3015.080,3810.660,4118.620
YPL159C,PET20,"Mitochondrial protein, required for respiratory growth under some conditions and for stability of the mitochondrial genome",3,482.522,250.614,282.986,565.464,594.730,307.526,258.819,95.824,474.502,782.950
YOR059C,YOR059C,Lipid particle protein of unknown function; contains a putative lipase serine active site; induced by transcription factor RPN4,7,552.062,523.505,501.694,524.039,405.627,380.480,480.697,360.049,244.055,272.284
YDR198C,RKM2,"Ribosomal protein lysine methyltransferase, responsible for trimethylation of the lysine residue at position 3 of Rpl12Ap and Rpl12Bp",12,2230.280,1846.450,1872.410,2180.930,2317.700,1870.090,2254.510,1636.900,2138.390,2069.370
YJL177W,RPL17B,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Ap and has similarity to E. coli L22 and rat L17 ribosomal proteins",83,27890.800,13546.000,12312.600,29601.400,26830.000,12435.800,13221.600,10570.700,16790.100,15919.200
YKL180W,RPL17A,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins; copurifies with the Dam1 complex (aka DASH complex)",11,3095.920,2703.710,1214.920,3494.970,2754.180,1292.750,1416.350,1295.940,2006.870,1758.850
YKL027W,YKL027W,"Protein of unknown function, localized to the mitochondrial outer membrane",28,4788.340,3651.190,5769.890,4569.190,5130.050,4525.020,4792.860,5597.390,5372.810,5499.480
YOR006C,TSR3,Protein required for correct processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,9,683.931,370.388,493.745,837.198,878.422,425.050,475.247,641.794,685.622,584.518
YPL128C,TBF1,"Telobox-containing general regulatory factor; binds TTAGGG repeats within subtelomeric anti-silencing regions (STARs), blocking silent chromatin propagation; binds majority of snoRNA gene promoters, required for full snoRNA expression",22,3628.550,2914.790,3780.890,3233.250,3484.430,3461.650,4063.750,3736.100,3885.260,3343.310
YLR206W,ENT2,Epsin-like protein required for endocytosis and actin patch assembly and functionally redundant with Ent1p; contains clathrin-binding motif at C-terminus,22,2443.750,3814.030,2822.590,2507.590,2289.250,3082.970,2944.440,2574.930,2441.110,2388.460
YNL270C,ALP1,Arginine transporter; expression is normally very low and it is unclear what conditions would induce significant expression,8,764.419,1358.910,2381.820,651.188,717.947,2042.220,3274.770,413.028,1435.220,1973.090
YDL208W,NHP2,"Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing",21,12885.800,2718.010,3865.570,10531.900,11837.900,3248.070,3919.670,4202.310,6159.410,4747.100
YOL110W,SHR5,"Subunit of a palmitoyltransferase, composed of Shr5p and Erf2p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; palmitoylation is required for Ras2p membrane localization",2,82.350,70.251,113.425,97.436,104.012,86.486,79.910,77.274,84.982,92.172
YMR166C,YMR166C,Predicted transporter of the mitochondrial inner membrane; has similarity to human mitochondrial ATP-Mg/Pi carriers; YMR166C is not an essential gene,5,130.855,198.252,194.932,124.120,203.908,248.683,192.409,347.287,256.188,316.865
YPL145C,KES1,"Member of the oxysterol binding protein family, which includes seven yeast homologs; involved in negative regulation of Sec14p-dependent Golgi complex secretory functions, peripheral membrane protein that localizes to the Golgi complex",59,17264.700,12864.900,13499.300,16672.900,16801.800,12549.800,14230.200,15348.700,13268.400,12164.100
YOR237W,HES1,Protein implicated in the regulation of ergosterol biosynthesis; one of a seven member gene family with a common essential function and non-essential unique functions; similar to human oxysterol binding protein (OSBP),3,658.443,369.333,523.849,643.539,585.743,524.134,579.578,620.834,549.988,495.523
YFR041C,ERJ5,Type I membrane protein with a J domain is required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response,22,6150.120,3849.100,5688.250,5837.150,5899.750,5361.650,5101.370,3965.090,6172.310,6782.970
YPL209C,IPL1,"Aurora kinase subunit of the conserved chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), involved in regulating kinetochore-microtubule attachments; helps maintain condensed chromosomes during anaphase and early telophase",3,649.562,127.613,376.064,609.482,715.064,272.767,328.440,380.030,461.148,523.031
YNL136W,EAF7,"Subunit of the NuA4 histone acetyltransferase complex, which acetylates the N-terminal tails of histones H4 and H2A",11,2468.390,1183.280,2180.560,1769.640,2359.210,1437.410,2010.200,1348.320,2489.670,1672.470
YOR311C,DGK1,"Diacylglycerol kinase, localized to the endoplasmic reticulum (ER); overproduction induces enlargement of ER-like membrane structures and suppresses a temperature-sensitive sly1 mutation; contains a CTP transferase domain",5,1708.560,696.723,860.383,1627.150,1607.290,908.202,852.852,812.607,1014.590,967.974
YIL083C,CAB2,"Probable phosphopantothenoylcysteine synthetase (PPCS), which catalyzes the second step of coenzyme A biosynthesis from pantothenate; null mutant lethality is complemented by E. coli coaBC (encoding a bifunctional enzyme with PPCS activity)",22,2064.680,3392.460,3712.160,2191.500,2270.960,3982.920,3565.430,2898.590,3489.310,3678.130
YDR078C,SHU2,"Protein involved in a Rad51p-, Rad54p-dependent pathway for homologous recombination repair, important for error-free repair of spontaneous and induced DNA lesions to protect the genome from mutation; associates with Shu1p, Psy3p, and Csm2p",9,1864.600,2292.970,1272.220,2379.340,2027.770,2153.870,1361.120,2482.530,1449.710,1979.110
YOR301W,RAX1,Protein involved in bud site selection during bipolar budding; localization requires Rax2p; has similarity to members of the insulin-related peptide superfamily,16,2601.080,1540.820,2161.190,2733.310,2375.090,2073.050,2141.530,2248.760,2105.390,2697.090
YIL071C,PCI8,"Possible shared subunit of Cop9 signalosome (CSN) and eIF3, binds eIF3b subunit Prt1p, has possible dual functions in transcriptional and translational control, contains a PCI (Proteasome-COP9 signalosome (CSN)-eIF3) domain",4,165.518,381.054,223.380,183.161,171.031,288.591,352.542,232.606,282.669,253.083
YKL067W,YNK1,"Nucleoside diphosphate kinase, catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate",59,4038.010,18559.300,18296.800,5100.660,4326.830,17551.800,15723.700,19856.000,18187.000,22748.300
YPL189W,GUP2,Probable membrane protein with a possible role in proton symport of glycerol; member of the MBOAT family of putative membrane-bound O-acyltransferases; Gup1p homolog,2,6.509,127.279,201.312,7.002,8.554,153.916,169.538,33.899,100.184,106.640
YBL028C,YBL028C,Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis,9,4672.650,698.052,552.433,4485.280,4274.690,650.824,734.428,599.328,1373.100,1358.890
YLR080W,EMP46,"Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport",31,1501.810,10839.400,5373.320,1419.280,1408.170,7191.820,10024.800,4022.860,4888.490,4881.490
YHL048W,COS8,"Nuclear membrane protein, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins; regulation suggests a potential role in the unfolded protein response",5,1204.790,564.395,1250.420,1225.560,1135.540,576.662,705.966,565.007,1039.370,1260.890
